任务gps.纬度,任务gps经度,my.km.cluster,标记
73,22.65301422,114.2124549,3
74,22.5331754,114.0831342,3
75,22.59955905,114.130363,3
76,22.65027837,113.9366241,3
77,22.73782038,114.2858901,3
78,22.73859039,113.8184493,3
79,22.74300109,113.9950401,3
80,22.63495417,114.0448196,3
81,22.75139338,114.0262399,3
82,22.61556463,114.1524159,3
83,22.68447006,114.000085,3
84,22.6651428,114.0200019,3
85,22.69331552,113.8170784,3
86,22.75600203,113.8513612,3
87,22.73335619,113.8312919,3
88,22.7778578,113.9170043,3
89,22.70597175,113.8079954,3
90,22.70466497,113.9726899,3
91,22.65204961,114.0535937,3
92,22.72133411,114.0616196,3
93,22.68008861,113.8347861,3
94,22.70874974,113.8160543,3
95,22.60766979,113.8685312,3
96,22.72710367,114.0613819,3
97,22.67955589,113.8329385,3
98,22.67509773,113.822362,3
99,22.73335619,113.8312919,3
100,22.61177508,114.0380587,3
101,22.73006657,114.0666477,3
102,22.65235376,113.9299125,3
103,22.71365257,114.0652375,3
104,22.56073431,113.8900779,3
105,22.67343353,113.8257052,3
106,22.59155498,114.1259102,3
107,22.670522,113.9235611,3
108,22.70038707,113.8449026,3
109,22.56350361,113.9068948,3
110,22.70743279,113.9300131,3
111,22.6335575,113.8513604,3
112,22.56419251,113.8961664,3
113,22.66919267,114.0384117,3
114,22.59628077,113.8550628,3
115,22.68518823,113.8115675,3
116,22.70700814,114.0967766,3
117,22.730349,114.068783,3
118,22.607611,113.8698943,3
119,22.58488076,113.913275,3
120,22.5609901,113.894563,3
121,22.73565178,114.280464,3
122,22.58194314,113.8880166,3
123,22.58297289,113.9071834,3
124,22.54138954,113.9191104,3
125,22.77040177,113.8551161,3
126,23.16769035,113.6651728,2
127,23.16549805,113.3875901,1
128,23.159336,113.3387113,1
129,23.16878915,113.4199598,1
130,23.12849295,113.3506186,1
131,23.13070225,113.4162609,1
132,23.13822079,113.3894867,1
133,23.18611685,113.5974857,2
134,23.12401896,113.411547,1
135,23.1381659,113.3728361,1
136,23.19967301,113.406847,1
137,23.12248087,113.3611249,1
138,23.20013915,113.374909,1
139,23.10125022,113.5484367,2
140,23.12486646,113.5614453,2
141,23.10871181,113.4928846,2
142,23.12431564,113.4081151,1
143,23.16751438,113.3379544,1
144,23.13544204,113.390008,1
145,23.13680577,113.3315495,1
146,23.11593032,113.4204891,1
147,23.16189407,113.3433346,1
148,23.10979739,113.4534484,1
149,23.10975809,113.4534812,1
150,23.19090473,113.4492017,1
151,23.10871181,113.4928846,2
152,23.09982822,113.4849635,2
153,23.07978943,113.429745,1
154,23.11810119,113.5442171,2
155,23.10871181,113.4928846,2
156,23.10112473,113.4872412,2
157,23.14872294,113.5152914,2
158,23.0479764,113.2892933,1
159,23.11114068,113.2782409,1
160,22.9345908,113.4167995,1
161,23.39690863,113.3475114,1
162,23.09138071,113.5316771,2
163,23.21565299,113.3005692,1
164,22.96099325,113.4427752,1
165,23.21280913,113.2563331,1
166,23.29451408,113.3313063,1
167,23.23745771,113.2042653,1
168,23.37184576,113.3603993,1
169,23.38627895,113.410599,1
170,23.25778406,113.3199932,1
171,23.08029132,113.2042061,1
172,23.21280913,113.2563331,1
173,23.25231339,113.2640936,1
174,23.26171206,113.2736317,1
175,23.19657146,113.248218,1
176,23.23376317,113.2234607,1
177,22.60495971,113.8575896,3
178,22.75034263,113.5835226,2
179,23.11295796,113.2185961,1
180,23.13175901,113.275758,1
181,23.1404539,113.2885119,1
182,23.12882385,113.4224455,1
183,23.1381659,113.3728361,1
184,23.13534304,113.3037146,1
185,23.14416119,113.2937609,1
186,23.13508872,113.3087933,1
187,23.12912268,113.3502696,1
188,23.13559919,113.3507531,1
189,22.89140037,113.4634086,2
190,23.1324472,113.3398257,1
191,23.13782219,113.3913207,1
192,23.13708468,113.3341858,1
193,23.19965405,113.3471287,1
194,23.16281868,113.418328,1
195,23.16213347,113.3362425,1
196,23.17452179,113.3590439,1
197,23.13963001,113.373441,1
198,22.82926076,113.5128066,2
199,22.77403434,113.5634849,2
200,22.76096874,113.5670518,2
201,23.06873266,113.2597245,1
202,23.38043854,113.2148083,1
203,23.06832244,113.259826,1
204,22.80661724,113.5538411,2
205,22.80808312,113.5540935,2
206,22.8075467,113.5521662,2
207,22.75155653,113.5823006,2
208,22.73722496,113.49332,2
209,22.75149396,113.5830112,2
210,23.10871181,113.4928846,2
211,23.14381101,113.225977,1
212,23.45231332,113.1865032,1
213,23.33873201,113.287509,1
214,23.46633279,113.159492,1
215,23.14217367,113.2258303,1
216,23.37477577,113.1788848,1
217,23.4707977,113.1623173,1
218,23.13697262,113.2511805,1
219,23.45673194,113.2818311,1
220,23.39286447,113.2168771,1
221,23.45948327,113.1906655,1
222,22.71023017,113.5528912,2
223,23.46689744,113.1568477,1
224,23.39484028,113.2214471,1
225,23.33887144,113.1110649,1
226,23.4739307,113.2286618,1
227,23.4153625,113.2559812,1
228,23.39620146,113.2148232,1
229,23.40499354,113.2185644,1
230,23.07562227,113.2882907,1
231,23.37243417,113.2076071,1
232,23.42583117,113.2080568,1
233,23.39841078,113.2515307,1
234,23.38959437,113.2094492,1
235,23.40380215,113.2090908,1
236,23.39508831,113.2092329,1
237,23.09692801,113.239735,1
238,23.40841281,113.2127554,1
239,23.09187146,113.3378758,1
240,23.39484028,113.2214471,1
241,23.09537864,113.340586,1
242,23.40649056,113.1696376,1
243,23.10022614,113.2726541,1
244,23.11405394,113.2681623,1
245,23.42604026,113.2057436,1
246,23.09144379,113.3619952,1
247,23.07250678,113.3232631,1
248,23.09874703,113.3145001,1
249,23.09223544,113.3618211,1
250,23.09225763,113.3092172,1
251,23.07813828,113.3563529,1
252,23.07207495,113.3573906,1
253,23.08686269,113.3324673,1
254,23.09349108,113.2792664,1
255,23.08887865,113.3283798,1
256,23.08690863,113.3432045,1
257,23.08762923,113.3338413,1
258,23.06884733,113.3226199,1
259,23.01403653,113.3995947,1
260,23.08308279,113.3399863,1
261,23.0479764,113.2892933,1
262,23.09231582,113.333797,1
263,22.94104074,113.3643577,1
264,23.09607127,113.321481,1
265,23.01919557,113.3252713,1
266,22.8145924,113.4191078,1
267,22.96639568,113.4186506,1
268,22.9345908,113.4167995,1
269,22.99106044,113.4052447,1
270,22.96178714,113.4420382,1
271,22.88992793,113.4614475,2
272,23.02170016,113.3574494,1
273,22.8100654,113.4141599,1
274,23.00743132,113.3201755,1
275,22.94194927,113.3712035,1
276,22.94428352,113.4044932,1
277,22.96481939,113.3565805,1
278,22.9345908,113.4167995,1
279,22.98035071,113.3222749,1
280,22.95705294,113.4238473,1
281,22.96859452,113.4081296,1
282,22.95454492,113.3451482,1
283,22.92265134,113.3754902,1
284,22.94228167,113.3604421,1
285,22.95321398,113.3659058,1
286,22.95435755,113.3680492,1
287,22.9677616,113.4044377,1
288,22.95410901,113.358418,1
289,22.94001202,113.360734,1
290,23.05399472,113.2699138,1
291,22.94289179,113.3606862,1
292,23.55528066,113.5988663,2
293,22.94548161,113.4033092,1
294,22.96950879,113.3827743,1
295,23.56341133,113.5803848,2
296,23.62547628,113.4313956,1
297,23.87839806,113.5397114,1
298,23.72311773,113.739427,2
299,23.56038693,113.6018782,2
300,23.54435986,113.5926833,2
301,23.54456994,113.5926934,2
302,23.55079636,113.5963006,2
303,23.81610767,113.9579294,2
304,23.54966086,113.5927756,2
305,23.23158622,113.2643764,1
306,23.55654335,113.594664,2
307,23.55090902,113.602251,2
308,23.45165523,113.2845092,1
309,23.21417689,113.2830531,1
310,23.34332347,113.301253,1
311,23.55840651,113.5895144,2
312,23.24103979,113.3111972,1
313,23.17268536,113.2829081,1
314,23.17916744,113.2579074,1
315,23.22905901,113.274368,1
316,23.19914624,113.2594586,1
317,23.21375407,113.2848136,1
318,23.25396062,113.3157819,1
319,23.21385224,113.250264,1
320,23.21696173,113.2862596,1
321,23.29451408,113.3313063,1
322,23.24188766,113.2770715,1
323,23.24225952,113.3111664,1
324,23.18365032,113.2334603,1
325,23.19907045,113.2387753,1
326,23.23709476,113.2837807,1
327,23.18718813,113.3366981,1
328,23.22035048,113.249282,1
329,23.21844312,113.2333725,1
330,23.21277909,113.2649338,1
331,23.22783298,113.3098073,1
332,23.17801596,113.2461178,1
333,23.22050464,113.2826379,1
334,23.18623308,113.2363258,1
335,23.29451408,113.3313063,1
336,23.15898957,113.2276926,1
337,23.21394862,113.281015,1
338,23.17886838,113.2482347,1
339,23.21872162,113.2323053,1
340,23.21794012,113.2368675,1
341,23.29451408,113.3313063,1
342,23.23158622,113.2643764,1
343,23.23159701,113.283057,1
344,23.15334517,113.2396818,1
345,23.21271064,113.2644744,1
346,23.22137104,113.2360855,1
347,23.17281527,113.3224149,1
348,23.20636522,113.3358956,1
349,23.23637165,113.279566,1
350,23.19538681,113.2410703,1
351,23.22620876,113.3095973,1
352,23.1570952,113.2297309,1
353,23.161857,113.2676472,1
354,23.15645038,113.2549363,1
355,22.63899906,114.0675793,3
356,22.51924352,113.9195281,3
357,22.67057736,113.8735894,3
358,22.58781321,113.9729021,3
359,22.57204653,114.1188134,3
360,22.58243264,113.9591486,3
361,22.68008861,113.8347861,3
362,22.5635259,113.9893556,3
363,23.01217957,113.3974048,1
364,22.6873087,113.9459597,3
365,23.2177189,113.23556,1
366,23.27373214,113.3010978,1
367,23.30080982,113.3621418,1
368,23.26172271,113.2781659,1
369,22.54605355,114.0259737,3
370,23.14311721,113.2254512,1
371,23.3004295,113.3621215,1
372,23.19924759,113.334818,1
373,23.09705081,113.6581524,2
374,23.12928955,113.6604402,2
375,22.64153534,114.0719117,3
376,23.03098143,113.3157936,1
377,22.97984508,113.3212453,1
378,23.13206675,113.2749836,1
379,23.12974908,113.2752038,1
380,22.96267859,113.4455898,1
381,23.12858004,113.3011622,1
382,23.14246797,113.3005,1
383,23.18246071,113.3497966,1
384,22.77665396,113.5933558,2
385,22.64946304,113.6129849,2
386,23.13891176,113.3274613,1
387,23.12382897,113.3298085,1
388,22.80839337,113.5539168,2
389,23.14416119,113.2937609,1
390,22.82771435,113.5218711,2
391,23.13562043,113.3048107,1
392,23.12742643,113.2581662,1
393,23.446661,113.2201755,1
394,23.08068204,113.2757904,1
395,23.47430929,113.163008,1
396,23.12011401,113.253472,1
397,23.44184274,113.3286502,1
398,23.37803295,113.2569259,1
399,23.4422023,113.3300279,1
400,23.40329889,113.2398514,1
401,23.43115969,113.4254505,1
402,23.03030049,113.3145988,1
403,22.97479086,113.3293635,1
404,23.01335039,113.3953229,1
405,22.88992793,113.4614475,2
406,22.84224477,113.3450767,1
407,23.46444973,113.1728925,1
408,23.02768375,113.3178615,1
409,22.97556192,113.4972296,2
410,22.83996892,113.3498966,1
411,22.91229115,113.3507636,1
412,23.02749214,113.3208977,1
413,22.9505863,113.360999,1
414,22.97284334,113.3354088,1
415,22.96099325,113.4427752,1
416,22.96283395,113.4063597,1
417,22.95377413,113.4063406,1
418,23.54196985,113.5979552,2
419,22.94294137,113.4065271,1
420,22.89445321,113.4096635,1
421,23.01619601,113.3314991,1
422,23.15655948,113.2149279,1
423,22.9564903,113.3756996,1
424,23.55366671,113.5951132,2
425,23.29881375,113.3629421,1
426,23.45457434,113.4983044,1
427,23.2516148,113.2923559,1
428,23.28119075,113.2376396,1
429,23.5532428,113.5953837,2
430,23.25840064,113.2999763,1
431,23.55380843,113.5953328,2
432,23.20717633,113.2643515,1
433,23.22050464,113.2826379,1
434,23.21772876,113.273664,1
435,23.45803366,113.1869153,1
436,23.3754398,113.2134638,1
437,23.47484287,113.1908172,1
438,23.47290189,113.1700943,1
439,23.46841629,113.1611801,1
440,22.52619876,113.9892211,3
441,22.55528126,114.1160913,3
442,22.72286461,114.2445007,3
443,22.56778253,114.1781275,3
444,22.56382444,113.9907634,3
445,22.6315777,114.1233026,3
446,22.68155741,113.9462038,3
447,22.54700517,114.1111563,3
448,22.54938063,114.0502177,3
449,22.5342988,114.0317449,3
450,22.57872798,114.4936096,3
451,22.64040872,114.043872,3
452,22.73383221,113.8315273,3
453,22.78567173,113.9004089,3
454,22.77248305,113.853852,3
455,22.74040934,113.7890795,3
456,22.6614933,114.0272899,3
457,23.46633279,113.159492,1
458,22.58197746,113.8879268,3
459,22.805179,113.5628515,2
460,22.70528903,114.1403154,3
461,23.19096422,113.3331534,1
462,22.52394954,113.9434416,3
463,23.09785202,113.3057915,1
464,22.52712849,114.0539088,3
465,22.54660305,114.1049551,3
466,22.57517644,114.1449386,3
467,22.5684784,113.9001112,3
468,22.5382642,114.0658681,3
469,23.13875611,113.3288103,1
470,23.14339098,113.6011789,2
471,23.12003249,113.2890606,1
472,23.13542532,113.3037677,1
473,23.16432044,113.2431433,1
474,23.12585311,113.4120539,1
475,23.1260612,113.3323389,1
476,23.15263157,113.3319798,1
477,23.128422,113.4111868,1
478,23.18845597,113.2716284,1
479,22.94295695,113.3934216,1
480,23.09450111,113.2664068,1
481,23.19676966,113.2703134,1
482,23.00569584,113.1243661,1
483,23.04490751,113.7884342,2
484,23.03272552,113.12013,1
485,23.00621128,113.1241309,1
486,22.77759139,113.7516813,2
487,22.72103752,114.1790518,3
488,22.81230491,114.1729882,3
489,22.801073,113.7618106,2
490,23.03122319,113.1207972,1
491,23.05595171,113.871321,2
492,22.91692471,113.6433026,2
493,22.87739958,114.1275908,3
494,23.06483206,113.7971486,2
495,23.01025416,113.6817199,2
496,23.06159876,113.6626383,2
497,23.0416214,113.7119223,2
498,23.08542731,113.6936712,2
499,22.85522568,114.1534998,3
500,22.80544018,113.8238665,2
501,22.82232789,113.7424637,2
502,22.85094098,114.1669061,3
503,22.85030931,114.1708909,3
504,23.00567603,113.7076519,2
505,23.06209254,113.826673,2
506,22.84478414,113.6454694,2
507,22.85171477,113.6315449,2
508,22.86139706,113.8539976,2
509,22.81963599,113.8037291,2
510,22.79566135,114.1565339,3
511,22.80567514,113.7907865,2
512,23.00064852,113.6154402,2
513,22.78249643,113.7638949,2
514,22.95998261,113.0474105,1
515,23.01478583,113.6858529,2
516,22.78139716,113.7672628,2
517,23.05170834,113.8429711,2
518,22.99142805,113.7725018,2
519,23.07829135,113.7987384,2
520,23.06286454,113.7987584,2
521,23.0553869,113.7700911,2
522,22.80016347,114.0627615,3
523,23.04845541,113.5499061,2
524,22.82104527,113.8090357,2
525,22.7958979,113.7978335,2
526,23.06060865,113.7374003,2
527,23.01783954,113.8233686,2
528,23.05828484,113.8147964,2
529,22.96936454,113.8966138,2
530,23.01465206,113.7680676,2
531,22.99522565,113.8000233,2
532,23.05866525,113.8321688,2
533,22.98744806,113.725147,2
534,22.99313225,113.7323716,2
535,23.02871297,113.8045789,2
536,22.97417485,113.7345883,2
537,22.94132785,113.6767951,2
538,22.84339687,113.2557574,1
539,23.06167985,113.8102199,2
540,23.17934885,112.8994031,1
541,23.17455266,113.0688513,1
542,23.17677756,112.8784023,1
543,23.16943397,112.9073857,1
544,23.2615299,113.0247518,1
545,23.16865186,112.8938126,1
546,23.16321812,112.9148997,1
547,23.07057951,112.8445408,1
548,22.90422292,112.9019826,1
549,23.0386685,113.2034172,1
550,23.20300498,113.1713931,1
551,23.17018893,112.9060636,1
552,22.87794292,113.2265578,1
553,23.18828575,113.2051584,1
554,23.1176526,113.1774208,1
555,23.14659839,113.1104485,1
556,23.12232763,113.1914852,1
557,23.16730584,112.902416,1
558,23.10435408,113.1991211,1
559,23.18585718,113.0927552,1
560,23.06677042,113.1421953,1
561,23.04403683,112.9214509,1
562,22.83661574,113.0000318,1
563,23.00707365,113.008964,1
564,22.95343786,112.9712874,1
565,23.07826539,113.0413813,1
566,23.11360001,113.0152889,1
567,23.0386685,113.2034172,1
568,23.0695963,113.156189,1
569,22.90311313,112.8923366,1
570,23.06369651,113.1355791,1
571,22.91055956,112.8841425,1
572,23.03863041,113.1704547,1
573,23.06573343,113.1321153,1
574,23.15666359,112.9049408,1
575,23.07059532,113.0576611,1
576,23.0723988,113.0896832,1
577,23.03791217,113.1563516,1
578,22.89624538,112.8883289,1
579,23.33555566,113.3075287,1
580,23.0723988,113.0896832,1
581,23.06817647,112.9707635,1
582,23.04372806,113.1470411,1
583,23.03964619,113.154622,1
584,22.98796007,113.0170859,1
585,23.0968614,113.041882,1
586,23.01479481,113.1651816,1
587,22.82452268,112.6832583,1
588,23.04112492,113.1373402,1
589,23.00022308,113.1080614,1
590,22.90119911,112.8850012,1
591,23.00675916,113.1290287,1
592,23.03480604,113.0880386,1
593,23.03489605,113.0901446,1
594,23.00573639,112.9707899,1
595,23.03905705,113.072597,1
596,22.94081692,113.0626781,1
597,23.0407653,113.1115737,1
598,23.0387396,113.1073721,1
599,23.00421017,113.0704232,1
600,23.0488615,113.0718864,1
601,23.03429331,113.0640067,1
602,23.03041581,113.121425,1
603,23.0208495,113.1393148,1
604,22.9908325,113.0723102,1
605,23.02630556,113.1403491,1
606,23.04334065,113.1056167,1
607,23.02991483,113.0576595,1
608,23.01281035,113.1202326,1
609,23.04516433,113.1210046,1
610,23.0024026,113.0651869,1
611,23.03004352,113.1298659,1
612,22.91452474,113.6760975,2
613,22.85615682,114.1539907,3
614,23.009444,113.0925428,1
615,22.97994563,114.0020847,2
616,23.0103936,113.1462973,1
617,23.00576024,113.1355665,1
618,22.94362798,113.6756826,2
619,23.08043298,113.9678196,2
620,22.93224969,113.9403339,2
621,22.79339959,114.1608936,3
622,22.80018488,113.7826897,2
623,22.97892268,113.956267,2
624,22.83110817,113.7801718,2
625,22.72831758,114.1967043,3
626,22.78108249,114.0574014,3
627,22.79633118,114.0632326,3
628,22.82104527,113.8090357,2
629,23.04883737,113.8557656,2
630,22.81973576,113.8093302,2
631,22.92277014,113.6689502,2
632,22.8387028,113.7066879,2
633,23.03128773,113.8334312,2
634,22.99889137,113.6206429,2
635,22.7920915,114.1017881,3
636,22.96921119,113.7638371,2
637,22.76781337,114.0421691,3
638,23.05029788,113.7566159,2
639,22.8188764,113.6774155,2
640,22.88245435,114.0068175,3
641,22.7406896,114.1664449,3
642,22.96547337,114.1542792,3
643,22.69796842,114.1787142,3
644,22.96920507,114.1741551,3
645,23.03504106,113.8561107,2
646,23.02874532,113.8311519,2
647,23.10214598,113.8030771,2
648,23.0230261,113.8416605,2
649,22.84421485,114.1744379,3
650,23.06377156,113.834619,2
651,23.0284963,113.848423,2
652,22.84485611,114.1728089,3
653,23.02631551,113.8422567,2
654,22.85760935,113.0531252,1
655,22.98796007,113.0170859,1
656,22.84851008,113.1870299,1
657,22.88459841,113.2182759,1
658,22.9138949,113.2240878,1
659,22.9652963,113.2460732,1
660,22.87852312,113.0553623,1
661,22.87852312,113.0553623,1
662,22.70990173,113.1682307,1
663,23.00974206,113.0855228,1
664,22.80363066,113.2523984,1
665,22.72036334,113.1550942,1
666,22.85727159,113.2677905,1
667,22.76789967,113.2924173,1
668,22.84690063,113.2779749,1
669,22.90953334,113.1809251,1
670,22.93017212,113.2183671,1
671,22.86636347,113.1383829,1
672,22.85737617,113.0534819,1
673,22.82250546,113.2418331,1
674,22.8821413,113.2179369,1
675,23.0386685,113.2034172,1
676,22.85271431,113.2565554,1
677,23.12824102,113.0139313,1
678,23.10103232,113.2116872,1
679,22.80574632,113.2755918,1
680,23.14631831,113.1050926,1
681,22.84139024,113.2631754,1
682,22.84799685,113.265445,1
683,22.82250546,113.2418331,1
684,22.8413378,113.2528321,1
685,22.81782912,113.7288782,2
686,22.91334578,113.6256759,2
687,23.10425851,113.8644239,2
688,23.25434329,113.1416733,1
689,22.80461472,113.7389577,2
690,23.22978218,113.0857182,1
691,23.12824102,113.0139313,1
692,23.15072393,113.1068267,1
693,23.04014697,113.1074724,1
694,23.03509621,113.215227,1
695,23.06712166,113.711025,2
696,22.96894263,113.9857532,2
697,22.8249516,114.1473047,3
698,23.02986674,113.8069493,2
699,23.06397425,113.1073552,1
700,22.92463744,113.6632245,2
701,22.94434236,113.6771283,2
702,22.84443218,114.1749839,3
703,22.78108249,114.0574014,3
704,22.91789735,114.0148092,3
705,23.08248182,113.8756202,2
706,22.78849837,114.1091621,3
707,23.10904412,113.824964,2
708,22.88864948,113.6687951,2
709,22.82311516,113.682687,2
710,23.02147069,113.9767303,2
711,22.84158065,113.9837534,3
712,22.80193697,113.7215484,2
713,23.09996972,113.6603676,2
714,22.82065293,113.6793236,2
715,23.00078427,113.9509232,2
716,22.74394534,114.1439999,3
717,22.8387028,113.7066879,2
718,22.70228568,114.1736681,3
719,22.8291523,113.7347647,2
720,23.02506148,114.1035973,3
721,22.74829892,114.1391543,3
722,22.87660886,113.675044,2
723,22.73591184,114.2757904,3
724,23.08248182,113.8756202,2
725,22.96547337,114.1542792,3
726,22.83586295,114.1128578,3
727,22.94565906,113.9505843,2
728,23.00561717,113.9381655,2
729,22.88898088,113.2210372,1
730,22.76676047,113.2629498,1
731,22.88479945,113.2589542,1
732,22.84425565,113.2588793,1
733,22.95119214,113.2670328,1
734,22.71129853,113.1614172,1
735,23.20445879,113.1633891,1
736,22.78360392,113.2915659,1
737,23.2604804,113.0236253,1
738,22.9870642,113.7689429,2
739,23.09554245,113.1847645,1
740,23.10350796,113.1836978,1
741,22.82065293,113.6793236,2
742,22.98965586,113.8897387,2
743,22.94132785,113.6767951,2
744,22.83399226,114.0968097,3
745,23.22113868,112.9248459,1
746,23.02429369,113.7913009,2
747,22.82065293,113.6793236,2
748,23.09621418,113.6572812,2
749,22.97049574,113.9193364,2
750,23.02941462,113.9955167,2
751,23.11759803,113.8836368,2
752,22.8184991,113.8067168,2
753,22.962945,113.6786409,2
754,23.06354452,113.7710582,2
755,22.80029657,113.7472574,2
756,23.0781566,113.8741143,2
757,23.05983215,113.5872324,2
758,23.12703337,113.0120037,1
759,23.04235254,113.7318371,2
760,22.80869811,114.1002264,3
761,23.10500981,113.8198157,2
762,23.05466654,113.7414039,2
763,23.05714801,113.663448,2
764,23.04229567,113.8077758,2
765,23.00371616,113.881268,2
766,23.00877683,113.7381856,2
767,22.93815956,113.8870409,2
768,23.05080297,113.7156716,2
769,23.0832246,113.7285264,2
770,23.05434269,113.7548907,2
771,22.91669305,114.0248715,3
772,23.02609965,113.746608,2
773,23.07328362,114.0234467,2
774,23.08636883,113.9505344,2
775,23.13871675,113.111198,1
776,22.98807885,114.0208579,2
777,23.04326407,112.9260813,1
778,23.061023,112.9221482,1
779,22.94081175,113.9453226,2
780,22.99587084,113.7621434,2
781,22.91334142,113.8483693,2
782,22.97333327,113.730314,2
783,23.11276083,112.9299114,1
784,23.12358718,113.1648355,1
785,23.05913863,113.7431308,2
786,23.06812838,113.0255363,1
787,23.09724421,113.7523577,2
788,23.19885366,113.1851605,1
789,23.09348295,113.1826215,1
790,23.23190692,113.0890874,1
791,23.06279119,113.0623784,1
792,23.06233415,113.1056841,1
793,23.10971032,113.1808405,1
794,23.22923111,113.0827188,1
795,23.11501909,112.9305637,1
796,23.11526775,113.1169399,1
797,22.80256864,113.2873979,1
798,23.06007494,112.9216899,1
799,23.15029122,113.1092646,1
800,23.11065649,113.1309687,1
801,23.0650595,113.0572779,1
802,22.93595157,113.8990852,2
803,23.11458393,113.8613142,2
804,22.90672977,113.8475874,2
805,22.9097662,114.0740398,3
806,23.11465325,113.8369654,2
807,23.03909825,113.7731777,2
808,22.84670401,114.1592865,3
809,23.11526775,113.1169399,1
810,22.86402965,113.1398401,1
811,22.96629587,113.0906029,1
812,22.96411796,113.0897185,1
813,22.95881496,113.0899638,1
814,22.88967401,113.081987,1
815,23.11275168,113.1253912,1
816,22.96420705,113.0957859,1
817,22.96049969,113.1071838,1
818,23.06367854,113.0570744,1
819,22.96532138,113.0925684,1
820,23.00958915,113.0856424,1
821,22.78982133,113.1641039,1
822,23.04181877,113.0883982,1
823,22.96817917,113.0978671,1
824,22.99456666,113.1409256,1
825,22.97888202,113.0166506,1
826,22.94563836,113.0900415,1
827,23.06667235,113.1548703,1
828,23.01280811,113.7603122,2
829,23.17903001,112.8761925,1
830,23.12341113,113.1517748,1
831,23.0440624,113.125784,1
832,22.8332624,113.2801516,1
833,22.81467597,113.8277312,2
834,23.06367398,113.7711884,2
835,23.12329431,113.1103823,1
